repo_url,repo_id,owner,repo,seed_pool,n_artifacts_head,artifact_types_head
https://github.com/rails/rails,rails/rails,rails,rails,ai_adopter,1,agents_md
https://github.com/kubernetes/kubernetes,kubernetes/kubernetes,kubernetes,kubernetes,ai_adopter,1,agents_md
https://github.com/microsoft/vscode,microsoft/vscode,microsoft,vscode,ai_adopter,89,agents_dir|agents_md|copilot_instructions|prompts|skill_md
https://github.com/neovim/neovim,neovim/neovim,neovim,neovim,ai_adopter,1,agents_md
https://github.com/vercel/next.js,vercel/next.js,vercel,next.js,ai_adopter,23,agents_md|claude_md|skill_md
https://github.com/facebook/react,facebook/react,facebook,react,ai_adopter,16,claude_md|skill_md
https://github.com/elastic/elasticsearch,elastic/elasticsearch,elastic,elasticsearch,ai_adopter,5,agents_md|claude_md
https://github.com/grafana/grafana,grafana/grafana,grafana,grafana,ai_adopter,8,agents_md|claude_md
https://github.com/prometheus/prometheus,prometheus/prometheus,prometheus,prometheus,ai_adopter,2,agents_md|claude_md
https://github.com/tiangolo/fastapi,tiangolo/fastapi,tiangolo,fastapi,ai_adopter,4,agents_dir
https://github.com/scikit-learn/scikit-learn,scikit-learn/scikit-learn,scikit-learn,scikit-learn,ai_adopter,1,agents_md
https://github.com/pandas-dev/pandas,pandas-dev/pandas,pandas-dev,pandas,ai_adopter,1,agents_md
https://github.com/astral-sh/ruff,astral-sh/ruff,astral-sh,ruff,ai_adopter,6,agents_md|claude_md|skill_md
https://github.com/astral-sh/uv,astral-sh/uv,astral-sh,uv,ai_adopter,2,agents_md|claude_md
https://github.com/biomejs/biome,biomejs/biome,biomejs,biome,ai_adopter,13,agents_md|claude_md|skill_md
https://github.com/jestjs/jest,jestjs/jest,jestjs,jest,ai_adopter,14,claude_md
https://github.com/webpack/webpack,webpack/webpack,webpack,webpack,ai_adopter,2,agents_md|claude_md
https://github.com/rust-lang/rust,rust-lang/rust,rust-lang,rust,ai_adopter,2,agents_md|claude_md
https://github.com/apache/spark,apache/spark,apache,spark,ai_adopter,2,agents_md|claude_md
https://github.com/helm/helm,helm/helm,helm,helm,ai_adopter,1,agents_md
https://github.com/docker/compose,docker/compose,docker,compose,ai_adopter,1,claude_md
https://github.com/caddyserver/caddy,caddyserver/caddy,caddyserver,caddy,ai_adopter,1,agents_md
https://github.com/traefik/traefik,traefik/traefik,traefik,traefik,ai_adopter,2,agents_md|claude_md
https://github.com/modelcontextprotocol/servers,modelcontextprotocol/servers,modelcontextprotocol,servers,ai_adopter,2,agents_md|claude_md
https://github.com/continuedev/continue,continuedev/continue,continuedev,continue,ai_adopter,5,agents_md|prompts|skill_md
https://github.com/pydantic/pydantic-ai,pydantic/pydantic-ai,pydantic,pydantic-ai,ai_adopter,45,agents_dir|agents_md|claude_md|prompts|skill_md
https://github.com/block/goose,block/goose,block,goose,ai_adopter,17,agents_dir|agents_md|claude_md|prompts
https://github.com/langchain-ai/langchain,langchain-ai/langchain,langchain-ai,langchain,ai_adopter,6,agents_md|claude_md|prompts
https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,ai_adopter,31,agents_md|claude_md|skill_md
https://github.com/TabbyML/tabby,TabbyML/tabby,TabbyML,tabby,ai_adopter,10,prompts
https://github.com/n8n-io/n8n,n8n-io/n8n,n8n-io,n8n,ai_adopter,54,agents_dir|agents_md|claude_md|skill_md
https://github.com/supabase/supabase,supabase/supabase,supabase,supabase,ai_adopter,22,agents_md|claude_md|prompts|skill_md
https://github.com/invoke-ai/InvokeAI,invoke-ai/InvokeAI,invoke-ai,InvokeAI,ai_adopter,2,agents_md|claude_md
https://github.com/mlflow/mlflow,mlflow/mlflow,mlflow,mlflow,ai_adopter,12,agents_md|claude_md|skill_md
https://github.com/browser-use/browser-use,browser-use/browser-use,browser-use,browser-use,ai_adopter,7,agents_md|claude_md|skill_md
https://github.com/All-Hands-AI/OpenHands,All-Hands-AI/OpenHands,All-Hands-AI,OpenHands,ai_adopter,4,agents_md|skill_md
https://github.com/langgenius/dify,langgenius/dify,langgenius,dify,ai_adopter,17,agents_md|claude_md|skill_md
https://github.com/infiniflow/ragflow,infiniflow/ragflow,infiniflow,ragflow,ai_adopter,70,agents_dir|agents_md|claude_md|prompts|skill_md
https://github.com/prefecthq/prefect,prefecthq/prefect,prefecthq,prefect,ai_adopter,45,agents_md|skill_md
https://github.com/dagster-io/dagster,dagster-io/dagster,dagster-io,dagster,ai_adopter,10,claude_md|cursor_rules|prompts|skill_md
https://github.com/huggingface/transformers,huggingface/transformers,huggingface,transformers,ai_adopter,4,agents_md|claude_md|skill_md
https://github.com/ollama/ollama,ollama/ollama,ollama,ollama,ai_adopter,2,agents_md|claude_md
https://github.com/chroma-core/chroma,chroma-core/chroma,chroma-core,chroma,ai_adopter,4,agents_md|claude_md
https://github.com/mem0ai/mem0,mem0ai/mem0,mem0ai,mem0,ai_adopter,49,agents_md|claude_md|skill_md
https://github.com/upstash/context7,upstash/context7,upstash,context7,ai_adopter,8,prompts|skill_md
https://github.com/e2b-dev/E2B,e2b-dev/E2B,e2b-dev,E2B,ai_adopter,3,agents_md|claude_md|skill_md
https://github.com/crewAIInc/crewAI,crewAIInc/crewAI,crewAIInc,crewAI,ai_adopter,4,agents_md|skill_md
https://github.com/microsoft/autogen,microsoft/autogen,microsoft,autogen,ai_adopter,3,prompts
https://github.com/run-llama/llama_parse,run-llama/llama_parse,run-llama,llama_parse,ai_adopter,1,claude_md
https://github.com/wandb/wandb,wandb/wandb,wandb,wandb,ai_adopter,5,agents_md|claude_md
https://github.com/ray-project/ray,ray-project/ray,ray-project,ray,ai_adopter,13,claude_md|cursor_rules|skill_md
https://github.com/apache/airflow,apache/airflow,apache,airflow,ai_adopter,22,agents_md|claude_md|skill_md
https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus/SuperAGI,TransformerOptimus,SuperAGI,ai_adopter,20,prompts
https://github.com/anthropics/claude-code,anthropics/claude-code,anthropics,claude-code,ai_adopter,10,skill_md
https://github.com/weaviate/weaviate,weaviate/weaviate,weaviate,weaviate,ai_adopter,1,claude_md
https://github.com/microsoft/TypeScript,microsoft/TypeScript,microsoft,TypeScript,general_oss,2,agents_md|claude_md
https://github.com/electron/electron,electron/electron,electron,electron,general_oss,6,claude_md|skill_md
https://github.com/dart-lang/sdk,dart-lang/sdk,dart-lang,sdk,general_oss,6,agents_dir|skill_md
https://github.com/dotnet/runtime,dotnet/runtime,dotnet,runtime,general_oss,16,agents_md|prompts|skill_md
https://github.com/ggml-org/llama.cpp,ggml-org/llama.cpp,ggml-org,llama.cpp,general_oss,3,agents_md|claude_md|skill_md
https://github.com/ggerganov/llama.cpp,ggerganov/llama.cpp,ggerganov,llama.cpp,general_oss,3,agents_md|claude_md|skill_md
https://github.com/cri-o/cri-o,cri-o/cri-o,cri-o,cri-o,general_oss,2,agents_md|claude_md
https://github.com/harvester/harvester,harvester/harvester,harvester,harvester,general_oss,1,agents_md
https://github.com/circleci/circleci-docs,circleci/circleci-docs,circleci,circleci-docs,general_oss,5,agents_md|claude_md|skill_md
https://github.com/nvm-sh/nvm,nvm-sh/nvm,nvm-sh,nvm,general_oss,2,agents_md|claude_md
https://github.com/tldr-pages/tldr,tldr-pages/tldr,tldr-pages,tldr,general_oss,1,agents_md
https://github.com/cheat/cheat,cheat/cheat,cheat,cheat,general_oss,1,claude_md
https://github.com/SeleniumHQ/selenium,SeleniumHQ/selenium,SeleniumHQ,selenium,general_oss,8,agents_md|claude_md
https://github.com/Kong/insomnia,Kong/insomnia,Kong,insomnia,general_oss,3,agents_md|claude_md|skill_md
https://github.com/cli/cli,cli/cli,cli,cli,general_oss,3,agents_md|skill_md
https://github.com/jesseduffield/lazygit,jesseduffield/lazygit,jesseduffield,lazygit,general_oss,2,agents_md|claude_md
https://github.com/jesseduffield/lazydocker,jesseduffield/lazydocker,jesseduffield,lazydocker,general_oss,1,claude_md
https://github.com/kyverno/kyverno,kyverno/kyverno,kyverno,kyverno,general_oss,1,agents_md
https://github.com/open-policy-agent/gatekeeper,open-policy-agent/gatekeeper,open-policy-agent,gatekeeper,general_oss,1,agents_md
https://github.com/open-policy-agent/opa,open-policy-agent/opa,open-policy-agent,opa,general_oss,1,agents_md
https://github.com/homebrew/brew,homebrew/brew,homebrew,brew,general_oss,3,agents_md|claude_md
https://github.com/git/git,git/git,git,git,general_oss,1,agents_md
https://github.com/spree/spree,spree/spree,spree,spree,general_oss,3,agents_md|claude_md|skill_md
https://github.com/discourse/discourse,discourse/discourse,discourse,discourse,general_oss,14,agents_md|claude_md|skill_md
https://github.com/lobsters/lobsters,lobsters/lobsters,lobsters,lobsters,general_oss,2,agents_md|claude_md
https://github.com/outline/outline,outline/outline,outline,outline,general_oss,2,agents_md|claude_md
https://github.com/mattermost/mattermost,mattermost/mattermost,mattermost,mattermost,general_oss,3,agents_md
https://github.com/bottlepy/bottle,bottlepy/bottle,bottlepy,bottle,general_oss,1,agents_md
https://github.com/redis/redis-py,redis/redis-py,redis,redis-py,general_oss,1,claude_md
https://github.com/mongodb/mongo-python-driver,mongodb/mongo-python-driver,mongodb,mongo-python-driver,general_oss,2,agents_md|claude_md
https://github.com/crossbario/autobahn-python,crossbario/autobahn-python,crossbario,autobahn-python,general_oss,1,claude_md
https://github.com/aio-libs/aiohttp,aio-libs/aiohttp,aio-libs,aiohttp,general_oss,3,agents_md|claude_md|skill_md
https://github.com/ansible/ansible,ansible/ansible,ansible,ansible,general_oss,5,agents_md|claude_md|skill_md
https://github.com/saltstack/salt,saltstack/salt,saltstack,salt,general_oss,1,claude_md
https://github.com/systemd/systemd,systemd/systemd,systemd,systemd,general_oss,2,agents_md|claude_md
https://github.com/containers/podman,containers/podman,containers,podman,general_oss,1,agents_md
https://github.com/moby/moby,moby/moby,moby,moby,general_oss,2,agents_md|claude_md
https://github.com/kubernetes/kops,kubernetes/kops,kubernetes,kops,general_oss,2,agents_md|claude_md
https://github.com/fluxcd/flux2,fluxcd/flux2,fluxcd,flux2,general_oss,1,agents_md
https://github.com/argoproj/argo-cd,argoproj/argo-cd,argoproj,argo-cd,general_oss,2,agents_md|claude_md
https://github.com/cockroachdb/cockroach,cockroachdb/cockroach,cockroachdb,cockroach,general_oss,27,claude_md|prompts|skill_md
https://github.com/tikv/tikv,tikv/tikv,tikv,tikv,general_oss,4,agents_md|claude_md|skill_md
https://github.com/pingcap/tidb,pingcap/tidb,pingcap,tidb,general_oss,13,agents_md|claude_md|skill_md
https://github.com/vitessio/vitess,vitessio/vitess,vitessio,vitess,general_oss,5,agents_md|claude_md|skill_md
https://github.com/sqlite/sqlite,sqlite/sqlite,sqlite,sqlite,general_oss,1,agents_md
https://github.com/vinta/awesome-python,vinta/awesome-python,vinta,awesome-python,general_oss,2,agents_md|claude_md
https://github.com/google/benchmark,google/benchmark,google,benchmark,general_oss,1,agents_md
