repo_id,instruction_file,reference_type,raw_reference,raw_text,resolved_path,exists_in_head,used_for_scope,extraction_rule,confidence,parser_version
grafana/grafana,CLAUDE.md,include_directive,@AGENTS.md,@AGENTS.md,AGENTS.md,True,True,include_directive,high,v2
grafana/grafana,CLAUDE.md,code_span,docs/AGENTS.md,docs/AGENTS.md,docs/AGENTS.md,True,True,code_span,medium,v2
grafana/grafana,CLAUDE.md,code_span,docs/,docs/,docs/,True,True,code_span,medium,v2
grafana/grafana,CLAUDE.md,explicit_path,docs/AGENTS.md,docs/AGENTS.md,docs/AGENTS.md,True,True,explicit_path,high,v2
grafana/grafana,CLAUDE.md,directory_mention,docs,docs,docs/,True,True,common_directory_name,medium,v2
grafana/grafana,CLAUDE.md,code_span,public/app/features/alerting/unified/AGENTS.md,public/app/features/alerting/unified/AGENTS.md,public/app/features/alerting/unified/AGENTS.md,True,True,code_span,medium,v2
grafana/grafana,CLAUDE.md,explicit_path,public/app/features/alerting/unified/AGENTS.md,public/app/features/alerting/unified/AGENTS.md,public/app/features/alerting/unified/AGENTS.md,True,True,explicit_path,high,v2
grafana/grafana,CLAUDE.md,command,make run,make run,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,command,make build-backend,make build-backend,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,directory_mention,pkg,pkg,pkg/,True,True,common_directory_name,medium,v2
grafana/grafana,CLAUDE.md,command,make test-go-unit,make test-go-unit,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,command,make test-go-integration,make test-go-integration,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,command,make lint-go,make lint-go,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,command,make gen-go,make gen-go,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,command,make gen-cue,make gen-cue,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,command,make gen-apps,make gen-apps,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,directory_mention,apps,apps,apps/,True,True,common_directory_name,medium,v2
grafana/grafana,CLAUDE.md,command,make swagger-gen,make swagger-gen,Makefile,True,True,make_command_to_makefile,medium,v2
grafana/grafana,CLAUDE.md,explicit_path,pkg/services/featuremgmt/,pkg/services/featuremgmt/,pkg/services/featuremgmt/,True,True,explicit_path,high,v2
grafana/grafana,CLAUDE.md,command,make gen-feature-toggles,make gen-feature-toggles,Makefile,True,True,make_command_to_makefile,medium,v2
