repo_id,instruction_file,reference_type,raw_reference,raw_text,resolved_path,exists_in_head,used_for_scope,extraction_rule,confidence,parser_version
payloadcms/payload,CLAUDE.md,code_span,packages/,packages/,packages/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,directory_mention,packages,packages,packages/,True,True,common_directory_name,medium,v2
payloadcms/payload,CLAUDE.md,code_span,packages/payload,packages/payload,packages/payload/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/payload,packages/payload,packages/payload/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,packages/ui,packages/ui,packages/ui/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/ui,packages/ui,packages/ui/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,packages/next,packages/next,packages/next/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/next,packages/next,packages/next/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,packages/drizzle,packages/drizzle,packages/drizzle/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/drizzle,packages/drizzle,packages/drizzle/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,packages/kv-redis,packages/kv-redis,packages/kv-redis/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/kv-redis,packages/kv-redis,packages/kv-redis/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,packages/graphql,packages/graphql,packages/graphql/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/graphql,packages/graphql,packages/graphql/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,packages/translations,packages/translations,packages/translations/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/translations,packages/translations,packages/translations/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,test/,test/,test/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,code_span,docs/,docs/,docs/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,directory_mention,docs,docs,docs/,True,True,common_directory_name,medium,v2
payloadcms/payload,CLAUDE.md,code_span,tools/,tools/,tools/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,code_span,templates/,templates/,templates/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,code_span,examples/,examples/,examples/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,directory_mention,examples,examples,examples/,True,True,common_directory_name,medium,v2
payloadcms/payload,CLAUDE.md,code_span,/app,/app,app/,True,True,scope_section:code_span,high,v2
payloadcms/payload,CLAUDE.md,code_span,tsconfig.base.json,tsconfig.base.json,tsconfig.base.json,True,True,scope_section:code_span,high,v2
payloadcms/payload,CLAUDE.md,directory_mention,Packages,Packages,packages/,True,True,common_directory_name,medium,v2
payloadcms/payload,CLAUDE.md,code_span,test/_community/config.ts,test/_community/config.ts,test/_community/config.ts,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,test/_community/config.ts,test/_community/config.ts,test/_community/config.ts,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,test/fields/config.ts,test/fields/config.ts,test/fields/config.ts,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,test/fields/config.ts,test/fields/config.ts,test/fields/config.ts,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,test,test,test/,True,False,code_span,low,v2
payloadcms/payload,CLAUDE.md,code_span,packages/translations/src/languages/,packages/translations/src/languages/,packages/translations/src/languages/,True,True,code_span,medium,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/translations/src/languages/,packages/translations/src/languages/,packages/translations/src/languages/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,explicit_path,packages/richtext-lexical,packages/richtext-lexical,packages/richtext-lexical/,True,True,explicit_path,high,v2
payloadcms/payload,CLAUDE.md,code_span,docs,docs,docs/,True,False,code_span,low,v2
payloadcms/payload,CLAUDE.md,code_span,examples,examples,examples/,True,False,code_span,low,v2
payloadcms/payload,CLAUDE.md,code_span,templates,templates,templates/,True,False,code_span,low,v2
payloadcms/payload,CLAUDE.md,directory_mention,Examples,Examples,examples/,True,True,common_directory_name,medium,v2
