repo_id,instruction_file,reference_type,raw_reference,resolved_path,exists_in_head,used_for_scope,extraction_rule
prefecthq/prefect,docs/AGENTS.md,path_token,docs/,docs/,True,False,backtick
prefecthq/prefect,docs/AGENTS.md,path_token,/write-docs,write-docs,False,False,backtick
prefecthq/prefect,docs/AGENTS.md,directory_token,docs/,docs/,True,True,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,path_token,.mdx,mdx,False,False,backtick
prefecthq/prefect,docs/AGENTS.md,path_token,docs/docs.json,docs/docs.json,True,False,backtick
prefecthq/prefect,docs/AGENTS.md,path_token,docs.js,docs.js,False,False,filename_ext
prefecthq/prefect,docs/AGENTS.md,directory_token,mintlify.com/,mintlify.com/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,v3/,v3/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,get-started/,get-started/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,concepts/,concepts/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,how-to-guides/,how-to-guides/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,advanced/,advanced/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,examples/,examples/,True,True,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,api-ref/,api-ref/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,python/,python/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,cli/,cli/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,path_token,index.md,index.md,False,False,filename_ext
prefecthq/prefect,docs/AGENTS.md,directory_token,rest-api/,rest-api/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,server/,server/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,cloud/,cloud/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,events/,events/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,release-notes/,release-notes/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,img/,img/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,integrations/,integrations/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,contribute/,contribute/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,snippets/,snippets/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,images/,images/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,logos/,logos/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,styles/,styles/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,directory_token,resources/,resources/,False,False,trailing_slash_token
prefecthq/prefect,docs/AGENTS.md,path_token,v3/examples/,v3/examples/,False,False,backtick
prefecthq/prefect,docs/AGENTS.md,path_token,examples/,examples/,True,False,backtick
prefecthq/prefect,docs/AGENTS.md,path_token,generate_example_pages.py,generate_example_pages.py,False,False,backtick
prefecthq/prefect,docs/AGENTS.md,path_token,v3/examples,v3/examples,False,False,inline_slash_token
