repo_id,instruction_file,reference_type,raw_reference,raw_text,resolved_path,exists_in_head,used_for_scope,extraction_rule,confidence,parser_version
prefecthq/prefect,AGENTS.md,explicit_path,src/prefect/,src/prefect/,src/prefect/,True,True,explicit_path,high,v2
prefecthq/prefect,AGENTS.md,directory_mention,src,src,src/,True,True,common_directory_name,medium,v2
prefecthq/prefect,AGENTS.md,explicit_path,docs/AGENTS.md,docs/AGENTS.md,docs/AGENTS.md,True,True,explicit_path,high,v2
prefecthq/prefect,AGENTS.md,directory_mention,docs,docs,docs/,True,True,common_directory_name,medium,v2
prefecthq/prefect,AGENTS.md,directory_mention,examples,examples,examples/,True,True,common_directory_name,medium,v2
prefecthq/prefect,AGENTS.md,explicit_path,src/integrations/AGENTS.md,src/integrations/AGENTS.md,src/integrations/AGENTS.md,True,True,explicit_path,high,v2
prefecthq/prefect,AGENTS.md,explicit_path,src/prefect/AGENTS.md,src/prefect/AGENTS.md,src/prefect/AGENTS.md,True,True,explicit_path,high,v2
prefecthq/prefect,AGENTS.md,explicit_path,tests/AGENTS.md,tests/AGENTS.md,tests/AGENTS.md,True,True,explicit_path,high,v2
prefecthq/prefect,AGENTS.md,explicit_path,ui-v2/AGENTS.md,ui-v2/AGENTS.md,ui-v2/AGENTS.md,True,True,explicit_path,high,v2
prefecthq/prefect,AGENTS.md,config_file,Dockerfile,Dockerfile,Dockerfile,True,True,known_config_filename,high,v2
prefecthq/prefect,AGENTS.md,config_file,pyproject.toml,pyproject.toml,pyproject.toml,True,True,known_config_filename,high,v2
prefecthq/prefect,AGENTS.md,explicit_path,./src/integrations/,./src/integrations/,src/integrations/,True,True,explicit_path,high,v2
prefecthq/prefect,AGENTS.md,code_span,src/prefect/,src/prefect/,src/prefect/,True,True,code_span,medium,v2
prefecthq/prefect,AGENTS.md,code_span,tests/,tests/,tests/,True,True,code_span,medium,v2
prefecthq/prefect,AGENTS.md,code_span,src/prefect/flow_engine.py,src/prefect/flow_engine.py,src/prefect/flow_engine.py,True,True,code_span,medium,v2
prefecthq/prefect,AGENTS.md,code_span,tests/engine/,tests/engine/,tests/engine/,True,True,code_span,medium,v2
