repo_id,instruction_file,scope_mode,governed_scope_description,n_governed_paths_head,n_governed_code_events,n_instruction_updates,sync_0,sync_7,sync_30,median_lag_days_30,n_content_refs,n_content_refs_used,notes
cheat/cheat,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),137,859,4,0.004656577415599534,0.02677532013969732,0.02677532013969732,0.31724537037037037,39,1,
cheat/cheat,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),137,859,4,0.004656577415599534,0.02677532013969732,0.02677532013969732,0.31724537037037037,39,1,
cheat/cheat,CLAUDE.md,content_referenced,content-referenced (1/39 refs resolved in HEAD),87,76,4,0.05263157894736842,0.17105263157894737,0.17105263157894737,0.31730324074074073,39,1,
electron/electron,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),2784,25611,7,0.0001952286127054781,0.008004373120924602,0.018351489594314943,9.379623842592594,125,11,
electron/electron,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),2784,25611,7,0.0001952286127054781,0.008004373120924602,0.018351489594314943,9.379623842592594,125,11,
electron/electron,CLAUDE.md,content_referenced,content-referenced (11/125 refs resolved in HEAD),2722,16363,7,0.00024445395098698285,0.011917130110615412,0.02774552343702255,9.768836805555555,125,11,
electron/electron,docs/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),2784,25613,1,3.904267364229103e-05,0.001483621598407059,0.005661187678132199,12.840486111111112,44,1,
electron/electron,docs/CLAUDE.md,subtree,subtree `docs/` (non-excluded paths),445,5192,1,0.0001926040061633282,0.001926040061633282,0.0065485362095531584,15.420457175925925,44,1,
electron/electron,docs/CLAUDE.md,content_referenced,content-referenced (1/44 refs resolved in HEAD),445,5192,1,0.0001926040061633282,0.001926040061633282,0.0065485362095531584,15.420457175925925,44,1,
dagster-io/dagster,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),12425,27406,20,0.0006567904838356564,0.020251039918266073,0.04878493760490404,11.134467592592593,68,6,
dagster-io/dagster,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),12425,27406,20,0.0006567904838356564,0.020251039918266073,0.04878493760490404,11.134467592592593,68,6,
dagster-io/dagster,CLAUDE.md,content_referenced,content-referenced (6/68 refs resolved in HEAD),12115,25368,20,0.0007095553453169347,0.019906969410280667,0.046397035635446233,10.043043981481482,68,6,
dagster-io/dagster,docs/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),12425,27407,4,0.00010946108658371948,0.010873134600649469,0.045937169336300945,17.06037037037037,20,3,
dagster-io/dagster,docs/CLAUDE.md,subtree,subtree `docs/` (non-excluded paths),936,5089,4,0.0005895067793279622,0.01296914914521517,0.037728433876989584,10.032390046296296,20,3,
dagster-io/dagster,docs/CLAUDE.md,content_referenced,content-referenced (3/20 refs resolved in HEAD),957,5271,4,0.0005691519635742744,0.01384936444697401,0.044014418516410546,13.129340277777779,20,3,
apache/airflow,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),12127,37018,1,0.0,0.0038899994597222974,0.016370414392998002,14.537847222222222,1,0,
apache/airflow,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),12127,37018,1,0.0,0.0038899994597222974,0.016370414392998002,14.537847222222222,1,0,
apache/airflow,CLAUDE.md,content_referenced,content-referenced (0/1 refs resolved in HEAD),0,0,1,,,,,1,0,No governed-code events under this scope mode.; No content references resolved in HEAD; content-referenced scope is empty.
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,repo_wide,repository-wide (non-excluded paths),12127,37019,2,5.402631081336611e-05,0.013803722412815042,0.042491693454712445,12.668368055555556,6,0,
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,subtree,subtree `airflow-core/src/airflow/_shared/` (non-excluded paths),15,14,2,0.0,0.07142857142857142,0.07142857142857142,5.344351851851852,6,0,
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,content_referenced,content-referenced (0/6 refs resolved in HEAD),0,0,2,,,,,6,0,No governed-code events under this scope mode.; No content references resolved in HEAD; content-referenced scope is empty.
