repo_id,instruction_file,scope_mode,governed_scope_description,n_governed_paths_head,n_governed_code_events,n_instruction_updates,sync_0,sync_7,sync_30,median_lag_days_30,n_content_refs,n_content_refs_used,n_package_roots_detected,package_roots_used,package_subtree_status,notes,parser_version
cheat/cheat,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),137,859,4,0.004656577415599534,0.02677532013969732,0.02677532013969732,0.31724537037037037,29,28,0,,,,v2
cheat/cheat,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),137,859,4,0.004656577415599534,0.02677532013969732,0.02677532013969732,0.31724537037037037,29,28,0,,,,v2
cheat/cheat,CLAUDE.md,content_referenced,content-referenced (28/29 refs resolved in HEAD),88,100,4,0.04,0.15,0.15,0.31730324074074073,29,28,0,,,,v2
cheat/cheat,CLAUDE.md,package_subtree,package-subtree (inconclusive_no_package_roots),0,0,4,,,,,29,28,2,,inconclusive_no_package_roots,No governed-code events under this scope mode.; Package-subtree scope inconclusive_no_package_roots.,v2
electron/electron,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),2784,25611,7,0.0001952286127054781,0.008004373120924602,0.018351489594314943,9.379623842592594,18,15,0,,,,v2
electron/electron,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),2784,25611,7,0.0001952286127054781,0.008004373120924602,0.018351489594314943,9.379623842592594,18,15,0,,,,v2
electron/electron,CLAUDE.md,content_referenced,content-referenced (15/18 refs resolved in HEAD),1438,11543,7,0.0003465303647232089,0.009529585029888245,0.02304426925409339,9.875289351851851,18,15,0,,,,v2
electron/electron,CLAUDE.md,package_subtree,"package-subtree (`github/workflows/`, `spec/`)",872,3826,7,0.0005227391531625719,0.021432305279665446,0.04913748039728175,9.348246527777778,18,15,60,github/workflows/;spec/,usable,,v2
electron/electron,docs/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),2784,25613,1,3.904267364229103e-05,0.001483621598407059,0.005661187678132199,12.840486111111112,11,11,0,,,,v2
electron/electron,docs/CLAUDE.md,subtree,subtree `docs/` (non-excluded paths),445,5192,1,0.0001926040061633282,0.001926040061633282,0.0065485362095531584,15.420457175925925,11,11,0,,,,v2
electron/electron,docs/CLAUDE.md,content_referenced,content-referenced (11/11 refs resolved in HEAD),445,5192,1,0.0001926040061633282,0.001926040061633282,0.0065485362095531584,15.420457175925925,11,11,0,,,,v2
electron/electron,docs/CLAUDE.md,package_subtree,package-subtree fallback to subtree `docs/`,445,5192,1,0.0001926040061633282,0.001926040061633282,0.0065485362095531584,15.420457175925925,11,11,60,docs/,fallback_subtree_nested,Nested instruction: package-subtree fell back to parent subtree.,v2
dagster-io/dagster,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),12425,27406,20,0.0006567904838356564,0.020251039918266073,0.04878493760490404,11.134467592592593,36,36,0,,,,v2
