repo_id,seed_pool,status,reason,n_touch_rows
rails/rails,ai_adopter,ok,,5
kubernetes/kubernetes,ai_adopter,ok,,3
microsoft/vscode,ai_adopter,ok,,271
neovim/neovim,ai_adopter,ok,,1
vercel/next.js,ai_adopter,ok,,39
facebook/react,ai_adopter,ok,,17
elastic/elasticsearch,ai_adopter,ok,,21
grafana/grafana,ai_adopter,ok,,30
prometheus/prometheus,ai_adopter,ok,,5
tiangolo/fastapi,ai_adopter,ok,,7
scikit-learn/scikit-learn,ai_adopter,ok,,2
pandas-dev/pandas,ai_adopter,ok,,1
astral-sh/ruff,ai_adopter,ok,,36
astral-sh/uv,ai_adopter,ok,,17
biomejs/biome,ai_adopter,ok,,11
jestjs/jest,ai_adopter,ok,,19
webpack/webpack,ai_adopter,ok,,17
rust-lang/rust,ai_adopter,ok,,2
apache/spark,ai_adopter,ok,,13
helm/helm,ai_adopter,ok,,3
docker/compose,ai_adopter,ok,,2
caddyserver/caddy,ai_adopter,ok,,2
traefik/traefik,ai_adopter,ok,,2
modelcontextprotocol/servers,ai_adopter,ok,,14
continuedev/continue,ai_adopter,ok,,27
pydantic/pydantic-ai,ai_adopter,ok,,183
block/goose,ai_adopter,ok,,139
langchain-ai/langchain,ai_adopter,ok,,73
Significant-Gravitas/AutoGPT,ai_adopter,ok,,115
TabbyML/tabby,ai_adopter,ok,,36
n8n-io/n8n,ai_adopter,ok,,112
supabase/supabase,ai_adopter,ok,,48
invoke-ai/InvokeAI,ai_adopter,ok,,1
mlflow/mlflow,ai_adopter,ok,,57
browser-use/browser-use,ai_adopter,ok,,122
All-Hands-AI/OpenHands,ai_adopter,ok,,57
langgenius/dify,ai_adopter,ok,,69
infiniflow/ragflow,ai_adopter,ok,,104
prefecthq/prefect,ai_adopter,ok,,227
dagster-io/dagster,ai_adopter,ok,,64
huggingface/transformers,ai_adopter,ok,,11
ollama/ollama,ai_adopter,ok,,2
chroma-core/chroma,ai_adopter,ok,,8
mem0ai/mem0,ai_adopter,ok,,236
upstash/context7,ai_adopter,ok,,46
e2b-dev/E2B,ai_adopter,ok,,10
crewAIInc/crewAI,ai_adopter,ok,,13
microsoft/autogen,ai_adopter,ok,,5
run-llama/llama_parse,ai_adopter,ok,,1
wandb/wandb,ai_adopter,ok,,8
ray-project/ray,ai_adopter,ok,,11
apache/airflow,ai_adopter,ok,,81
TransformerOptimus/SuperAGI,ai_adopter,ok,,65
anthropics/claude-code,ai_adopter,ok,,10
weaviate/weaviate,ai_adopter,ok,,11
microsoft/TypeScript,general_oss,ok,,2
electron/electron,general_oss,ok,,8
dart-lang/sdk,general_oss,ok,,2
dotnet/runtime,general_oss,ok,,1
ggml-org/llama.cpp,general_oss,ok,,50
ggerganov/llama.cpp,general_oss,ok,,50
cri-o/cri-o,general_oss,ok,,6
