repo_id,commit_volume,n_repo_files,repo_age_proxy_days,n_ai_touch_commits,ci_present,maturity_score,maturity_tier
rails/rails,98025,4950,229,5,0.0,0.6746411483253589,High
kubernetes/kubernetes,138394,30456,77,3,0.0,0.784688995215311,High
microsoft/vscode,158947,15642,348,122,1.0,0.9290271132376396,High
neovim/neovim,36487,3825,89,1,0.0,0.6347687400318979,High
vercel/next.js,8000,29257,155,34,0.0,0.6483253588516746,High
facebook/react,10981,7248,137,9,1.0,0.8062200956937801,High
elastic/elasticsearch,23706,43127,113,20,0.0,0.74481658692185,High
grafana/grafana,8000,21804,252,23,0.0,0.6387559808612441,High
prometheus/prometheus,17751,1628,89,5,0.0,0.5263157894736842,Medium
tiangolo/fastapi,7270,2978,104,4,0.0,0.4784688995215311,Medium
scikit-learn/scikit-learn,8000,1764,222,2,0.0,0.46172248803827753,Medium
pandas-dev/pandas,8000,2634,208,1,0.0,0.4920255183413078,Medium
astral-sh/ruff,8000,10588,156,24,0.0,0.6044657097288676,Medium
astral-sh/uv,8000,1468,144,9,0.0,0.43779904306220097,Medium
biomejs/biome,10281,25692,313,10,0.0,0.7001594896331739,High
jestjs/jest,7662,3313,166,7,0.0,0.5007974481658691,Medium
webpack/webpack,18793,12231,88,16,0.0,0.6874003189792663,High
rust-lang/rust,326546,60084,99,1,1.0,0.9657097288676236,High
apache/spark,8000,26656,110,12,0.0,0.6467304625199362,High
helm/helm,9620,1995,238,3,0.0,0.5247208931419457,Medium
docker/compose,5768,695,78,2,0.0,0.35406698564593303,Low
caddyserver/caddy,2596,615,52,2,0.0,0.29346092503987237,Low
traefik/traefik,6268,2199,20,1,0.0,0.441786283891547,Medium
modelcontextprotocol/servers,4112,142,432,10,0.0,0.27432216905901113,Low
continuedev/continue,21557,3065,329,27,1.0,0.7599681020733652,High
pydantic/pydantic-ai,2142,2089,321,39,0.0,0.3588516746411483,Low
block/goose,4683,2371,599,85,0.0,0.4274322169059011,Medium
langchain-ai/langchain,5042,2899,652,32,0.0,0.4449760765550239,Medium
Significant-Gravitas/AutoGPT,8640,4032,378,46,1.0,0.7360446570972887,High
TabbyML/tabby,3694,2100,911,6,1.0,0.565390749601276,Medium
n8n-io/n8n,8646,20029,300,65,1.0,0.8413078149920256,High
supabase/supabase,8000,15767,796,23,1.0,0.79585326953748,High
invoke-ai/InvokeAI,18991,3263,268,1,0.0,0.5980861244019139,Medium
mlflow/mlflow,8007,8904,288,51,0.0,0.620414673046252,Medium
browser-use/browser-use,9711,496,380,101,0.0,0.441786283891547,Medium
All-Hands-AI/OpenHands,6843,2385,742,49,0.0,0.4577352472089314,Medium
langgenius/dify,8002,12588,296,48,0.0,0.6299840510366825,High
infiniflow/ragflow,6688,3366,341,43,0.0,0.48963317384370014,Medium
prefecthq/prefect,8000,5371,357,168,0.0,0.5558213716108453,Medium
dagster-io/dagster,8000,14222,363,43,1.0,0.7862838915470495,High
huggingface/transformers,8001,6064,364,8,0.0,0.5917065390749602,Medium
ollama/ollama,5453,1233,-6,1,0.0,0.37958532695374797,Low
chroma-core/chroma,4458,2037,131,6,0.0,0.40669856459330145,Medium
mem0ai/mem0,2246,1658,89,35,1.0,0.5063795853269538,Medium
upstash/context7,853,322,150,12,0.0,0.2073365231259968,Low
e2b-dev/E2B,4854,758,112,10,0.0,0.3508771929824561,Low
crewAIInc/crewAI,2498,3287,118,6,0.0,0.41467304625199364,Medium
microsoft/autogen,3782,1837,1040,3,0.0,0.3843700159489633,Low
run-llama/llama_parse,542,358,127,1,0.0,0.1945773524720893,Low
wandb/wandb,9384,7251,182,7,1.0,0.7902711323763955,High
ray-project/ray,8000,10523,246,6,0.0,0.60207336523126,Medium
apache/airflow,8000,12969,360,69,0.0,0.6116427432216905,Medium
TransformerOptimus/SuperAGI,2342,771,593,31,1.0,0.46331738437001596,Medium
anthropics/claude-code,660,203,209,4,0.0,0.18819776714513556,Low
weaviate/weaviate,26058,4748,120,11,0.0,0.6347687400318979,High
microsoft/TypeScript,36765,81369,74,2,0.0,0.7703349282296651,High
electron/electron,8094,3004,173,7,0.0,0.5342902711323764,Medium
dart-lang/sdk,8000,55198,22,1,0.0,0.6578947368421052,High
