repo_id,seed_pool,status,reason,n_touch_rows
rails/rails,ai_adopter,ok,,130
kubernetes/kubernetes,ai_adopter,skipped,no_artifacts,0
microsoft/vscode,ai_adopter,ok,,1850
neovim/neovim,ai_adopter,ok,,1040
vercel/next.js,ai_adopter,skipped,low_commits,0
facebook/react,ai_adopter,ok,,744
elastic/elasticsearch,ai_adopter,ok,,66
grafana/grafana,ai_adopter,ok,,2137
prometheus/prometheus,ai_adopter,ok,,563
tiangolo/fastapi,ai_adopter,ok,,643
scikit-learn/scikit-learn,ai_adopter,ok,,406
pandas-dev/pandas,ai_adopter,ok,,913
astral-sh/ruff,ai_adopter,ok,,2118
astral-sh/uv,ai_adopter,ok,,1380
biomejs/biome,ai_adopter,ok,,3192
jestjs/jest,ai_adopter,ok,,207
webpack/webpack,ai_adopter,ok,,305
rust-lang/rust,ai_adopter,ok,,1357
apache/spark,ai_adopter,ok,,3087
helm/helm,ai_adopter,ok,,362
docker/compose,ai_adopter,ok,,358
caddyserver/caddy,ai_adopter,ok,,245
traefik/traefik,ai_adopter,ok,,299
modelcontextprotocol/servers,ai_adopter,ok,,78
continuedev/continue,ai_adopter,ok,,1413
pydantic/pydantic-ai,ai_adopter,ok,,307
block/goose,ai_adopter,ok,,840
langchain-ai/langchain,ai_adopter,ok,,1535
Significant-Gravitas/AutoGPT,ai_adopter,ok,,1608
TabbyML/tabby,ai_adopter,ok,,471
n8n-io/n8n,ai_adopter,ok,,2108
supabase/supabase,ai_adopter,ok,,708
invoke-ai/InvokeAI,ai_adopter,ok,,592
mlflow/mlflow,ai_adopter,ok,,2440
browser-use/browser-use,ai_adopter,ok,,399
All-Hands-AI/OpenHands,ai_adopter,ok,,1056
langgenius/dify,ai_adopter,ok,,753
infiniflow/ragflow,ai_adopter,ok,,125
prefecthq/prefect,ai_adopter,ok,,1585
dagster-io/dagster,ai_adopter,ok,,135
huggingface/transformers,ai_adopter,ok,,1555
ollama/ollama,ai_adopter,ok,,196
chroma-core/chroma,ai_adopter,ok,,729
mem0ai/mem0,ai_adopter,ok,,102
upstash/context7,ai_adopter,ok,,78
e2b-dev/E2B,ai_adopter,ok,,347
crewAIInc/crewAI,ai_adopter,ok,,178
microsoft/autogen,ai_adopter,ok,,627
run-llama/llama_parse,ai_adopter,ok,,292
wandb/wandb,ai_adopter,ok,,507
ray-project/ray,ai_adopter,ok,,76
apache/airflow,ai_adopter,ok,,8977
TransformerOptimus/SuperAGI,ai_adopter,ok,,12
anthropics/claude-code,ai_adopter,ok,,134
weaviate/weaviate,ai_adopter,ok,,796
microsoft/TypeScript,general_oss,ok,,928
electron/electron,general_oss,ok,,3239
dart-lang/sdk,general_oss,ok,,218
dotnet/runtime,general_oss,ok,,198
ggml-org/llama.cpp,general_oss,skipped,low_commits,0
ggerganov/llama.cpp,general_oss,skipped,low_commits,0
cri-o/cri-o,general_oss,ok,,599
harvester/harvester,general_oss,ok,,230
circleci/circleci-docs,general_oss,ok,,2
nvm-sh/nvm,general_oss,ok,,134
tldr-pages/tldr,general_oss,ok,,164
cheat/cheat,general_oss,ok,,12
SeleniumHQ/selenium,general_oss,ok,,1086
Kong/insomnia,general_oss,ok,,579
cli/cli,general_oss,ok,,497
jesseduffield/lazygit,general_oss,ok,,171
jesseduffield/lazydocker,general_oss,ok,,25
kyverno/kyverno,general_oss,ok,,5319
open-policy-agent/gatekeeper,general_oss,ok,,1441
open-policy-agent/opa,general_oss,ok,,738
homebrew/brew,general_oss,ok,,1703
git/git,general_oss,ok,,186
spree/spree,general_oss,ok,,112
discourse/discourse,general_oss,ok,,573
lobsters/lobsters,general_oss,ok,,37
outline/outline,general_oss,ok,,65
mattermost/mattermost,general_oss,ok,,913
bottlepy/bottle,general_oss,ok,,20
redis/redis-py,general_oss,ok,,293
mongodb/mongo-python-driver,general_oss,ok,,283
crossbario/autobahn-python,general_oss,ok,,278
aio-libs/aiohttp,general_oss,ok,,1013
ansible/ansible,general_oss,skipped,no_artifacts,0
saltstack/salt,general_oss,ok,,6022
systemd/systemd,general_oss,ok,,1242
containers/podman,general_oss,ok,,381
moby/moby,general_oss,ok,,976
kubernetes/kops,general_oss,ok,,426
fluxcd/flux2,general_oss,ok,,1104
argoproj/argo-cd,general_oss,ok,,3493
cockroachdb/cockroach,general_oss,ok,,354
tikv/tikv,general_oss,ok,,11
pingcap/tidb,general_oss,ok,,105
vitessio/vitess,general_oss,ok,,41177
sqlite/sqlite,general_oss,skipped,no_artifacts,0
vinta/awesome-python,general_oss,ok,,33
google/benchmark,general_oss,ok,,335
facebook/react-native,general_oss,ok,,940
facebook/jest,general_oss,ok,,217
sveltejs/svelte,general_oss,ok,,154
angular/angular,general_oss,skipped,low_commits,0
axios/axios,general_oss,ok,,308
date-fns/date-fns,general_oss,ok,,157
storybookjs/storybook,general_oss,skipped,low_commits,0
cypress-io/cypress,general_oss,ok,,244
rollup/rollup,general_oss,skipped,low_commits,0
swc-project/swc,general_oss,skipped,low_commits,0
labstack/echo,general_oss,skipped,low_commits,0
grafana/loki,general_oss,skipped,low_commits,0
grafana/tempo,general_oss,skipped,low_commits,0
jaegertracing/jaeger,general_oss,skipped,low_commits,0
open-telemetry/opentelemetry-go,general_oss,ok,,677
external-secrets/external-secrets,general_oss,ok,,1920
haproxy/haproxy,general_oss,ok,,440
apache/pulsar,general_oss,ok,,3589
rabbitmq/rabbitmq-server,general_oss,ok,,6350
apache/cassandra,general_oss,ok,,1
apache/dubbo,general_oss,ok,,533
quarkusio/quarkus,general_oss,ok,,2031
micronaut-projects/micronaut-core,general_oss,ok,,639
detekt/detekt,general_oss,ok,,1723
JetBrains/kotlin,general_oss,skipped,low_commits,0
scala/scala,general_oss,ok,,70
scalacenter/scalafix,general_oss,ok,,136
strapi/strapi,general_oss,ok,,516
directus/directus,general_oss,ok,,551
payloadcms/payload,general_oss,ok,,635
appwrite/appwrite,general_oss,ok,,1124
hasura/graphql-engine,general_oss,ok,,33
prisma/prisma,general_oss,ok,,1156
apache/httpd,general_oss,ok,,109
mochajs/mocha,general_oss,ok,,160
microsoft/playwright,general_oss,ok,,1721
apache/flink,general_oss,ok,,401
apache/beam,general_oss,ok,,15151
mongodb/mongo,general_oss,ok,,20
facebook/rocksdb,general_oss,ok,,119
meilisearch/meilisearch,general_oss,ok,,1453
algolia/algoliasearch-client-javascript,general_oss,ok,,134
excalidraw/excalidraw,general_oss,ok,,185
fastapi/fastapi,general_oss,ok,,691
home-assistant/core,general_oss,ok,,1646
remix-run/react-router,general_oss,ok,,653
openclaw/openclaw,general_oss,ok,,2745
obra/superpowers,general_oss,skipped,no_artifacts,0
affaan-m/ECC,general_oss,ok,,146
ultraworkers/claw-code,general_oss,ok,,13
NousResearch/hermes-agent,general_oss,ok,,147
avelino/awesome-go,general_oss,ok,,66
multica-ai/andrej-karpathy-skills,general_oss,skipped,no_artifacts,0
f/prompts.chat,general_oss,ok,,76
langflow-ai/langflow,general_oss,ok,,3990
anthropics/skills,general_oss,skipped,no_artifacts,0
firecrawl/firecrawl,general_oss,ok,,744
mattpocock/skills,general_oss,skipped,no_artifacts,0
github/spec-kit,general_oss,ok,,110
garrytan/gstack,general_oss,ok,,128
thedotmack/claude-mem,general_oss,ok,,38
thedaviddias/Front-End-Checklist,general_oss,ok,,22
ruvnet/RuView,general_oss,ok,,173
daytonaio/daytona,general_oss,ok,,193
JuliusBrussee/caveman,general_oss,ok,,12
bytedance/deer-flow,general_oss,ok,,54
paperclipai/paperclip,general_oss,ok,,153
unclecode/crawl4ai,general_oss,ok,,25
pewdiepie-archdaemon/odysseus,general_oss,ok,,12
shareAI-lab/learn-claude-code,general_oss,ok,,9
safishamsi/graphify,general_oss,ok,,20
ComposioHQ/awesome-claude-skills,general_oss,ok,,1
openinterpreter/openinterpreter,general_oss,ok,,606
cline/cline,general_oss,ok,,887
nexu-io/open-design,general_oss,ok,,740
code-yeongyu/oh-my-openagent,general_oss,ok,,420
earendil-works/pi,general_oss,ok,,63
warpdotdev/warp,general_oss,ok,,113
rtk-ai/rtk,general_oss,ok,,96
ruvnet/ruflo,general_oss,ok,,269
shanraisshan/claude-code-best-practice,general_oss,skipped,no_artifacts,0
Egonex-AI/Understand-Anything,general_oss,ok,,11
tw93/Mole,general_oss,ok,,198
MemPalace/mempalace,general_oss,ok,,43
