repo_id,n_artifacts_removed,artifact_gap_mature,delta_artifact_gap_vs_full,repo_gap_unguarded,delta_repo_gap_unguarded_vs_full,repo_gap_restricted,delta_repo_gap_restricted_vs_full,abs_delta_artifact_gap,abs_delta_repo_gap_unguarded,abs_delta_repo_gap_restricted
apache/beam,408,0.08853883758826725,0.01267676862275001,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.01267676862275001,8.718395815170144e-05,0.00016757436112274995
TabbyML/tabby,33,0.06901343214451135,-0.0068486368210058934,0.010810810810810811,-0.005318221447253704,0.01948051948051948,-0.006325932132383746,0.0068486368210058934,0.005318221447253704,0.006325932132383746
continuedev/continue,54,0.07036346691519105,-0.005498602050326193,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.005498602050326193,8.718395815170144e-05,0.00016757436112274995
facebook/react,54,0.07103064066852367,-0.004831428296993567,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.004831428296993567,8.718395815170144e-05,0.00016757436112274995
microsoft/autogen,31,0.07119741100323625,-0.004664657962280994,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.004664657962280994,8.718395815170144e-05,0.00016757436112274995
apache/spark,108,0.07808802650260294,0.002225957537085696,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.002225957537085696,8.718395815170144e-05,0.00016757436112274995
rails/rails,14,0.07386888273314866,-0.0019931862323685767,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0019931862323685767,8.718395815170144e-05,0.00016757436112274995
dotnet/runtime,26,0.07407407407407407,-0.0017879948914431704,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0017879948914431704,8.718395815170144e-05,0.00016757436112274995
huggingface/transformers,87,0.07764705882352942,0.001784989858012176,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.001784989858012176,8.718395815170144e-05,0.00016757436112274995
mlflow/mlflow,85,0.0775375939849624,0.0016755250194451649,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0016755250194451649,8.718395815170144e-05,0.00016757436112274995
facebook/rocksdb,15,0.07422775472568004,-0.0016343142398372035,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0016343142398372035,8.718395815170144e-05,0.00016757436112274995
vitessio/vitess,262,0.07739212007504691,0.0015300511095296676,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0015300511095296676,8.718395815170144e-05,0.00016757436112274995
anthropics/claude-code,18,0.07436489607390301,-0.0014971728916142318,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0014971728916142318,8.718395815170144e-05,0.00016757436112274995
wandb/wandb,41,0.07436489607390301,-0.0014971728916142318,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0014971728916142318,8.718395815170144e-05,0.00016757436112274995
Significant-Gravitas/AutoGPT,75,0.07441860465116279,-0.0014434643143544507,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0014434643143544507,8.718395815170144e-05,0.00016757436112274995
grafana/grafana,148,0.07728781412991939,0.0014257451644021507,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0014257451644021507,8.718395815170144e-05,0.00016757436112274995
ray-project/ray,10,0.07458563535911603,-0.0012764336064012144,0.016216216216216217,8.718395815170144e-05,0.01948051948051948,-0.006325932132383746,0.0012764336064012144,8.718395815170144e-05,0.006325932132383746
apache/dubbo,14,0.07465437788018434,-0.0012076910853329043,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0012076910853329043,8.718395815170144e-05,0.00016757436112274995
outline/outline,10,0.07468879668049792,-0.0011732722850193167,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0011732722850193167,8.718395815170144e-05,0.00016757436112274995
n8n-io/n8n,149,0.07703081232492998,0.0011687433594127355,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0011687433594127355,8.718395815170144e-05,0.00016757436112274995
scikit-learn/scikit-learn,36,0.07474466109563603,-0.0011174078698812095,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0011174078698812095,8.718395815170144e-05,0.00016757436112274995
prefecthq/prefect,69,0.07476635514018691,-0.00109571382533033,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.00109571382533033,8.718395815170144e-05,0.00016757436112274995
browser-use/browser-use,16,0.07479224376731301,-0.0010698251982042273,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0010698251982042273,8.718395815170144e-05,0.00016757436112274995
TransformerOptimus/SuperAGI,2,0.07501150483202945,-0.0008505641334877884,0.010810810810810811,-0.005318221447253704,0.01948051948051948,-0.006325932132383746,0.0008505641334877884,0.005318221447253704,0.006325932132383746
external-secrets/external-secrets,30,0.07670850767085077,0.0008464387053335326,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0008464387053335326,8.718395815170144e-05,0.00016757436112274995
algolia/algoliasearch-client-javascript,11,0.07504604051565378,-0.0008160284498634623,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0008160284498634623,8.718395815170144e-05,0.00016757436112274995
open-policy-agent/gatekeeper,27,0.07663725034835114,0.0007751813828339033,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0007751813828339033,8.718395815170144e-05,0.00016757436112274995
facebook/react-native,56,0.0766016713091922,0.0007396023436749555,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0007396023436749555,8.718395815170144e-05,0.00016757436112274995
danny-avila/LibreChat,40,0.0766016713091922,0.0007396023436749555,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0007396023436749555,8.718395815170144e-05,0.00016757436112274995
apache/airflow,77,0.07659971975712283,0.000737650791605593,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.000737650791605593,8.718395815170144e-05,0.00016757436112274995
chroma-core/chroma,46,0.0765661252900232,0.0007040563245059583,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0007040563245059583,8.718395815170144e-05,0.00016757436112274995
SeleniumHQ/selenium,47,0.0765661252900232,0.0007040563245059583,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0007040563245059583,8.718395815170144e-05,0.00016757436112274995
neovim/neovim,42,0.0765661252900232,0.0007040563245059583,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0007040563245059583,8.718395815170144e-05,0.00016757436112274995
tiangolo/fastapi,29,0.07653061224489796,0.0006685432793807206,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0006685432793807206,8.718395815170144e-05,0.00016757436112274995
mattermost/mattermost,59,0.07653061224489796,0.0006685432793807206,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0006685432793807206,8.718395815170144e-05,0.00016757436112274995
fastapi/fastapi,29,0.07653061224489796,0.0006685432793807206,0.016216216216216217,8.718395815170144e-05,0.025974025974025976,0.00016757436112274995,0.0006685432793807206,8.718395815170144e-05,0.00016757436112274995
