repo_id,instruction_file,reference,reference_type,extraction_rule,confidence,resolved_path,exists_in_head,status,misguidance_category,historical_existence,counts_toward_primary_misguidance,parser_version
cheat/cheat,CLAUDE.md,make build,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make build-release,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make install,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make test,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal,directory_mention,common_directory_name,medium,internal/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make coverage,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make lint,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make vet,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make fmt,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make check,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make setup,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,make vendor-update,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/config,code_span,code_span,medium,internal/config/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/config,explicit_path,explicit_path,high,internal/config/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/cheatpath,code_span,code_span,medium,internal/cheatpath/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/cheatpath,explicit_path,explicit_path,high,internal/cheatpath/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/sheet,code_span,code_span,medium,internal/sheet/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/sheet,explicit_path,explicit_path,high,internal/sheet/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/sheets,code_span,code_span,medium,internal/sheets/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/sheets,explicit_path,explicit_path,high,internal/sheets/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/display,code_span,code_span,medium,internal/display/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/display,explicit_path,explicit_path,high,internal/display/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/installer,code_span,code_span,medium,internal/installer/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/installer,explicit_path,explicit_path,high,internal/installer/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/repo,code_span,code_span,medium,internal/repo/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/repo,explicit_path,explicit_path,high,internal/repo/,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/config/paths.go,code_span,code_span,medium,internal/config/paths.go,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,internal/config/paths.go,explicit_path,explicit_path,high,internal/config/paths.go,True,valid,,,False,v2
cheat/cheat,CLAUDE.md,mocks,code_span,code_span,low,mocks/,True,valid,,,False,v2
electron/electron,CLAUDE.md,script/lint.js,code_span,code_span,medium,script/lint.js,True,valid,,,False,v2
electron/electron,CLAUDE.md,script/lint.js,explicit_path,explicit_path,high,script/lint.js,True,valid,,,False,v2
electron/electron,CLAUDE.md,lib,directory_mention,common_directory_name,medium,lib/,True,valid,,,False,v2
electron/electron,CLAUDE.md,docs,directory_mention,common_directory_name,medium,docs/,True,valid,,,False,v2
electron/electron,CLAUDE.md,patches/config.json,code_span,code_span,medium,patches/config.json,True,valid,,,False,v2
electron/electron,CLAUDE.md,patches/config.json,explicit_path,explicit_path,high,patches/config.json,True,valid,,,False,v2
electron/electron,CLAUDE.md,spec/,code_span,code_span,medium,spec/,True,valid,,,False,v2
electron/electron,CLAUDE.md,build/args/,code_span,code_span,medium,build/args/,True,valid,,,False,v2
electron/electron,CLAUDE.md,build/args/,explicit_path,explicit_path,high,build/args/,True,valid,,,False,v2
electron/electron,CLAUDE.md,BUILD.gn,code_span,code_span,low,BUILD.gn,True,valid,,,False,v2
electron/electron,CLAUDE.md,buildflags/buildflags.gni,code_span,code_span,medium,buildflags/buildflags.gni,True,valid,,,False,v2
electron/electron,CLAUDE.md,buildflags/buildflags.gni,explicit_path,explicit_path,high,buildflags/buildflags.gni,True,valid,,,False,v2
electron/electron,CLAUDE.md,.oxlintrc.json,code_span,code_span,low,oxlintrc.json,True,valid,,,False,v2
electron/electron,CLAUDE.md,filenames.gni,code_span,code_span,low,filenames.gni,True,valid,,,False,v2
electron/electron,CLAUDE.md,package.json,code_span,code_span,high,package.json,True,valid,,,False,v2
electron/electron,CLAUDE.md,package.json,config_file,known_config_filename,high,package.json,True,valid,,,False,v2
