repo_id,spectrum_group,family_id,family_label,anchor_path,observation_span_years,n_anchor_updates,update_frequency_per_year,n_repo_wide_code_events,co_change_rate,sync_7,sync_30,median_update_lag_days_30,present_in_head,mature_present_180,maintained_180,lifecycle_persistence_rate,follow_up_days,days_since_last_touch,scope_mode,notes
cheat/cheat,instructions,claude_md,CLAUDE.md,CLAUDE.md,12.552,4,0.3187,859,0.004656577415599534,0.02677532013969732,0.02677532013969732,0.31724537037037037,True,False,True,,1,0,repo_wide,
cheat/cheat,configuration,go_mod,go.mod,go.mod,12.552,38,3.0275,859,0.04423748544819558,0.1408614668218859,0.21536670547147846,0.8676851851851852,True,True,True,1.0,2310,0,repo_wide,
cheat/cheat,documentation,readme,README.md,README.md,12.552,74,5.8956,859,0.03143189755529686,0.39930151338766007,0.5215366705471478,2.378460648148148,True,True,True,1.0,4583,0,repo_wide,
cheat/cheat,documentation,contributing,CONTRIBUTING.md,CONTRIBUTING.md,12.552,10,0.7967,859,0.006984866123399301,0.06053550640279395,0.07334109429569266,0.7529398148148149,True,True,True,1.0,4284,0,repo_wide,
electron/electron,instructions,claude_md,CLAUDE.md,CLAUDE.md,13.243,7,0.5286,25611,0.0001952286127054781,0.008004373120924602,0.018351489594314943,9.379623842592594,True,False,True,,173,59,repo_wide,
electron/electron,configuration,package_json,package.json,package.json,13.243,1918,144.8311,25510,0.07114856918855351,0.7076048608388867,0.9031360250882007,1.8589351851851852,True,True,True,1.0,4805,4,repo_wide,
electron/electron,documentation,readme,README.md,README.md,13.243,163,12.3084,25613,0.001483621598407059,0.2391363760590325,0.5734978331316128,9.149386574074073,True,True,False,0.0,4807,212,repo_wide,
electron/electron,documentation,contributing,CONTRIBUTING.md,CONTRIBUTING.md,13.243,36,2.7184,25613,0.0004685120837074923,0.06645063053917932,0.2221918556982782,13.138726851851851,True,True,True,1.0,4040,58,repo_wide,
electron/electron,documentation,docs_index,docs index page,docs/README.md,13.243,172,12.988,25613,0.004802248858001796,0.23980010151095146,0.5745519853199547,8.976423611111112,True,True,False,0.0,4682,377,repo_wide,
dagster-io/dagster,instructions,claude_md,CLAUDE.md,CLAUDE.md,8.129,20,2.4603,27406,0.0006567904838356564,0.020251039918266073,0.04878493760490404,11.134467592592593,True,True,True,1.0,325,48,repo_wide,
dagster-io/dagster,instructions,agents_md,AGENTS.md,docs/AGENTS.md,8.129,2,0.246,27407,3.648702886123983e-05,0.005655489473492174,0.029481519319881782,17.168234953703703,False,False,False,,363,325,repo_wide,
dagster-io/dagster,instructions,cursor_rules,Cursor rules,examples/docs_snippets/docs_snippets_tests/snippet_checks/guides/.cursor/rules/snippet_tests.mdc,8.129,1,0.123,27408,3.648569760653824e-05,0.00394045534150613,0.016236135434909517,16.07707175925926,True,True,False,0.0,349,349,repo_wide,
dagster-io/dagster,configuration,github_workflows,GitHub Actions workflows,examples/assets_dbt_python/.github/workflows/examples/branch_deployments.yml,8.129,5,0.6151,27408,0.00018242848803269119,0.011310566258026853,0.03221687098657326,12.861400462962964,True,True,True,1.0,672,67,repo_wide,
dagster-io/dagster,configuration,package_json,package.json,js_modules/dagit/packages/core/package.json,8.129,88,10.8253,27408,0.003210741389375365,0.11503940455341506,0.24346906012842964,7.284375,False,False,False,,1905,1048,repo_wide,
